,online_order,Table_booking,Rating,No._of_rating,rest_type,cuisines,Avg._cost(2 person),Listed_type,Listed_city,Weighted_Rating,Avg_cost(log),No_of_rating_log
0,1,1,4.1,775,Casual Dining,"North Indian, Mughlai, Chinese",800.0,Buffet,Banashankari,4.0,6.68586094706836,6.7
1,1,0,4.1,787,Casual Dining,"Chinese, North Indian, Thai",800.0,Buffet,Banashankari,4.0,6.68586094706836,6.7
2,1,0,3.8,918,"Cafe, Casual Dining","Cafe, Mexican, Italian",800.0,Buffet,Banashankari,3.8,6.68586094706836,6.8
3,0,0,3.7,88,Quick Bites,"South Indian, North Indian",300.0,Buffet,Banashankari,3.7,5.707110264748875,4.5
4,0,0,3.8,166,Casual Dining,"North Indian, Rajasthani",600.0,Buffet,Banashankari,3.7,6.398594934535208,5.1
5,1,0,3.8,286,Casual Dining,North Indian,600.0,Buffet,Banashankari,3.8,6.398594934535208,5.7
6,0,0,3.6,8,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800.0,Buffet,Banashankari,3.7,6.68586094706836,2.2
7,1,1,4.6,2556,"Casual Dining, Cafe","Pizza, Cafe, Italian",600.0,Cafes,Banashankari,4.5,6.398594934535208,7.8
8,1,0,4.0,324,Cafe,"Cafe, Italian, Continental",700.0,Cafes,Banashankari,3.9,6.55250788703459,5.8
9,1,0,4.2,504,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550.0,Cafes,Banashankari,4.1,6.311734809152915,6.2
10,1,0,4.1,402,Cafe,Cafe,500.0,Cafes,Banashankari,4.0,6.2166061010848646,6.0
11,1,1,4.2,150,Cafe,"Cafe, Italian, Continental",600.0,Cafes,Banashankari,3.9,6.398594934535208,5.0
12,1,1,4.2,164,Cafe,"Cafe, Chinese, Continental, Italian",500.0,Cafes,Banashankari,3.9,6.2166061010848646,5.1
13,0,0,4.0,424,Cafe,"Cafe, Continental",450.0,Cafes,Banashankari,3.9,6.111467339502679,6.1
14,1,0,3.8,918,"Cafe, Casual Dining","Cafe, Mexican, Italian",800.0,Cafes,Banashankari,3.8,6.68586094706836,6.8
15,1,0,3.8,90,Cafe,Cafe,650.0,Cafes,Banashankari,3.7,6.478509642208569,4.5
16,1,0,3.9,133,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",800.0,Cafes,Banashankari,3.8,6.68586094706836,4.9
17,1,0,3.8,144,Cafe,"Chinese, Cafe, Italian",700.0,Cafes,Banashankari,3.7,6.55250788703459,5.0
18,0,0,3.9,93,Cafe,"Cafe, Italian, American",300.0,Cafes,Banashankari,3.8,5.707110264748875,4.5
19,1,0,3.1,13,Cafe,"Cafe, Chinese, Continental, Italian",400.0,Cafes,Banashankari,3.7,5.993961427306569,2.6
20,1,0,3.0,62,Cafe,"Cafe, French, North Indian",400.0,Cafes,Banashankari,3.5,5.993961427306569,4.1
21,1,0,3.7,180,Cafe,"Cafe, Pizza, Fast Food, Beverages",500.0,Cafes,Banashankari,3.7,6.2166061010848646,5.2
22,0,0,3.6,28,Cafe,"Cafe, Fast Food",900.0,Cafes,Banashankari,3.7,6.803505257608338,3.4
23,1,0,3.6,62,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",600.0,Cafes,Banashankari,3.7,6.398594934535208,4.1
24,0,0,3.7,31,Cafe,Cafe,300.0,Cafes,Banashankari,3.7,5.707110264748875,3.5
25,0,0,3.2,11,Cafe,"Cafe, Bakery",600.0,Cafes,Banashankari,3.7,6.398594934535208,2.5
26,1,0,3.8,75,"Cafe, Quick Bites","Cafe, South Indian",200.0,Cafes,Banashankari,3.7,5.303304908059076,4.3
27,0,0,3.3,4,Cafe,"Cafe, Fast Food, Beverages",500.0,Cafes,Banashankari,3.7,6.2166061010848646,1.6
28,0,0,3.3,23,Cafe,"Cafe, Fast Food",550.0,Cafes,Banashankari,3.7,6.311734809152915,3.2
29,0,0,3.8,148,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550.0,Cafes,Banashankari,3.7,6.311734809152915,5.0
30,1,0,4.0,219,Cafe,"Cafe, Italian",600.0,Cafes,Banashankari,3.9,6.398594934535208,5.4
31,1,0,2.8,506,Quick Bites,"North Indian, Fast Food, Chinese, Burger",500.0,Delivery,Banashankari,3.1,6.2166061010848646,6.2
32,1,0,3.9,35,Delivery,"Bakery, Desserts",500.0,Delivery,Banashankari,3.7,6.2166061010848646,3.6
33,1,0,3.9,172,Delivery,Pizza,750.0,Delivery,Banashankari,3.8,6.621405651764134,5.2
34,1,0,4.2,415,Quick Bites,"North Indian, Biryani, Fast Food",500.0,Delivery,Banashankari,4.0,6.2166061010848646,6.0
35,1,0,3.9,230,Delivery,Biryani,650.0,Delivery,Banashankari,3.8,6.478509642208569,5.4
36,1,0,2.8,91,Quick Bites,"North Indian, Chinese, Fast Food",400.0,Delivery,Banashankari,3.4,5.993961427306569,4.5
37,1,0,4.2,1647,Casual Dining,"Chinese, Thai, Momos",600.0,Delivery,Banashankari,4.1,6.398594934535208,7.4
38,1,0,4.4,4884,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750.0,Delivery,Banashankari,4.4,6.621405651764134,8.5
39,1,0,4.0,17,Quick Bites,South Indian,150.0,Delivery,Banashankari,3.7,5.017279836814924,2.9
40,1,0,3.8,133,Quick Bites,"Street Food, Fast Food",200.0,Delivery,Banashankari,3.7,5.303304908059076,4.9
41,0,0,3.9,28,Mess,South Indian,300.0,Delivery,Banashankari,3.7,5.707110264748875,3.4
42,1,0,3.9,286,Quick Bites,"Burger, Fast Food",500.0,Delivery,Banashankari,3.8,6.2166061010848646,5.7
43,1,0,3.9,540,Quick Bites,"Pizza, Fast Food",800.0,Delivery,Banashankari,3.8,6.68586094706836,6.3
44,1,1,4.6,2556,"Casual Dining, Cafe","Pizza, Cafe, Italian",600.0,Delivery,Banashankari,4.5,6.398594934535208,7.8
45,0,0,3.8,36,Delivery,"North Indian, Continental, Italian",400.0,Delivery,Banashankari,3.7,5.993961427306569,3.6
46,1,0,3.6,244,Quick Bites,"North Indian, Chinese",300.0,Delivery,Banashankari,3.6,5.707110264748875,5.5
47,1,0,4.0,804,Casual Dining,"North Indian, Chinese, Biryani, Rolls",450.0,Delivery,Banashankari,3.9,6.111467339502679,6.7
48,1,0,3.7,679,Casual Dining,"Chinese, Thai",850.0,Delivery,Banashankari,3.7,6.7464121285733745,6.5
49,1,0,3.1,245,Quick Bites,"North Indian, Chinese, Momos, Rolls",300.0,Delivery,Banashankari,3.4,5.707110264748875,5.5
50,0,0,3.7,21,Quick Bites,North Indian,450.0,Delivery,Banashankari,3.7,6.111467339502679,3.1
51,1,0,4.1,28,Quick Bites,"Fast Food, Street Food, Beverages",150.0,Delivery,Banashankari,3.7,5.017279836814924,3.4
52,0,0,4.3,345,Dessert Parlor,"Ice Cream, Desserts",400.0,Delivery,Banashankari,4.1,5.993961427306569,5.8
53,1,0,4.0,618,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian",750.0,Delivery,Banashankari,3.9,6.621405651764134,6.4
54,0,0,4.0,1047,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",450.0,Delivery,Banashankari,4.0,6.111467339502679,7.0
55,1,0,3.9,627,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0,Delivery,Banashankari,3.9,6.111467339502679,6.4
56,1,0,3.8,104,Quick Bites,"Biryani, Fast Food",300.0,Delivery,Banashankari,3.7,5.707110264748875,4.7
57,1,1,4.2,354,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800.0,Delivery,Banashankari,4.0,6.68586094706836,5.9
58,0,0,3.6,55,Quick Bites,"Fast Food, Burger",200.0,Delivery,Banashankari,3.7,5.303304908059076,4.0
59,1,0,3.7,17,Dessert Parlor,"Desserts, Beverages",400.0,Delivery,Banashankari,3.7,5.993961427306569,2.9
60,0,0,4.2,244,Casual Dining,"Italian, North Indian, Mexican",800.0,Delivery,Banashankari,4.0,6.68586094706836,5.5
61,1,1,3.6,163,Casual Dining,"Goan, Seafood, North Indian, Chinese, Biryani",800.0,Delivery,Banashankari,3.7,6.68586094706836,5.1
62,1,0,3.8,58,Quick Bites,Chinese,150.0,Delivery,Banashankari,3.7,5.017279836814924,4.1
63,0,1,4.0,808,Casual Dining,"North Indian, Chinese",850.0,Delivery,Banashankari,3.9,6.7464121285733745,6.7
64,0,0,3.7,78,"Bakery, Dessert Parlor",Bakery,150.0,Delivery,Banashankari,3.7,5.017279836814924,4.4
65,1,0,4.1,1720,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",400.0,Delivery,Banashankari,4.1,5.993961427306569,7.5
66,1,0,3.6,34,Quick Bites,South Indian,100.0,Delivery,Banashankari,3.7,4.61512051684126,3.6
67,0,0,4.1,868,Pub,"Continental, Italian, Mexican, North Indian, Chinese, Steak",1200.0,Delivery,Banashankari,4.0,7.0909098220799835,6.8
68,0,0,3.8,39,Bakery,"Bakery, Desserts",300.0,Delivery,Banashankari,3.7,5.707110264748875,3.7
69,1,0,3.2,71,Quick Bites,"Burger, Fast Food, Beverages",600.0,Delivery,Banashankari,3.6,6.398594934535208,4.3
70,1,0,3.6,6,"Takeaway, Delivery","Italian, North Indian, Biryani",500.0,Delivery,Banashankari,3.7,6.2166061010848646,1.9
71,0,0,4.1,520,Quick Bites,"Biryani, Chinese, Kebab",300.0,Delivery,Banashankari,4.0,5.707110264748875,6.3
72,0,0,3.7,0,Quick Bites,North Indian,150.0,Delivery,Banashankari,3.7,5.017279836814924,0.0
73,0,0,2.9,84,Delivery,"Chinese, Continental, Italian, North Indian",700.0,Delivery,Banashankari,3.5,6.55250788703459,4.4
74,0,0,3.6,299,Quick Bites,"Fast Food, Rolls, Momos",300.0,Delivery,Banashankari,3.6,5.707110264748875,5.7
75,0,0,3.7,0,"Takeaway, Delivery","Street Food, Fast Food",500.0,Delivery,Banashankari,3.7,6.2166061010848646,0.0
76,1,0,4.1,558,Quick Bites,South Indian,150.0,Delivery,Banashankari,4.0,5.017279836814924,6.3
77,1,0,3.6,28,Quick Bites,"Biryani, South Indian",300.0,Delivery,Banashankari,3.7,5.707110264748875,3.4
78,0,0,3.7,22,Quick Bites,Fast Food,500.0,Delivery,Banashankari,3.7,6.2166061010848646,3.1
79,0,0,3.8,39,Quick Bites,"South Indian, Chinese, North Indian",350.0,Delivery,Banashankari,3.7,5.860786223465865,3.7
80,1,0,3.8,153,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500.0,Delivery,Banashankari,3.7,6.2166061010848646,5.0
81,1,0,4.2,146,Beverage Shop,"Beverages, Desserts, Ice Cream",400.0,Delivery,Banashankari,3.9,5.993961427306569,5.0
82,0,0,3.5,14,Sweet Shop,"Mithai, Street Food",200.0,Delivery,Banashankari,3.7,5.303304908059076,2.7
83,0,0,3.8,42,Casual Dining,"North Indian, Chinese",700.0,Delivery,Banashankari,3.7,6.55250788703459,3.8
84,0,0,3.7,0,Quick Bites,"South Indian, Chinese",100.0,Delivery,Banashankari,3.7,4.61512051684126,0.0
85,0,0,4.0,66,Bakery,"Bakery, Desserts",300.0,Delivery,Banashankari,3.8,5.707110264748875,4.2
86,1,0,4.4,4401,Casual Dining,"Biryani, North Indian, Chinese",600.0,Delivery,Banashankari,4.4,6.398594934535208,8.4
87,0,0,3.5,31,Quick Bites,North Indian,200.0,Delivery,Banashankari,3.7,5.303304908059076,3.5
88,0,0,3.5,7,Dessert Parlor,Desserts,500.0,Delivery,Banashankari,3.7,6.2166061010848646,2.1
89,0,0,3.7,21,Quick Bites,Biryani,250.0,Delivery,Banashankari,3.7,5.5254529391317835,3.1
90,0,0,3.7,0,Delivery,"Bakery, Desserts",500.0,Delivery,Banashankari,3.7,6.2166061010848646,0.0
91,0,0,3.7,0,"Takeaway, Delivery",South Indian,400.0,Delivery,Banashankari,3.7,5.993961427306569,0.0
92,0,0,3.7,0,Mess,South Indian,200.0,Delivery,Banashankari,3.7,5.303304908059076,0.0
93,0,0,3.2,9,Dessert Parlor,Ice Cream,300.0,Delivery,Banashankari,3.7,5.707110264748875,2.3
94,0,0,2.6,283,Casual Dining,North Indian,600.0,Delivery,Banashankari,3.1,6.398594934535208,5.6
95,0,0,3.3,62,Bar,"South Indian, North Indian, Chinese",800.0,Delivery,Banashankari,3.6,6.68586094706836,4.1
96,0,0,3.8,64,Quick Bites,"Fast Food, Bakery",250.0,Delivery,Banashankari,3.7,5.5254529391317835,4.2
97,0,0,3.7,39,Casual Dining,"North Indian, Iranian",950.0,Delivery,Banashankari,3.7,6.85751406254539,3.7
98,0,0,3.7,65,Quick Bites,"Fast Food, Street Food",300.0,Delivery,Banashankari,3.7,5.707110264748875,4.2
99,1,0,3.8,71,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400.0,Delivery,Banashankari,3.7,5.993961427306569,4.3
100,0,0,3.5,52,Quick Bites,South Indian,300.0,Delivery,Banashankari,3.7,5.707110264748875,4.0
101,0,0,3.7,130,Quick Bites,South Indian,200.0,Delivery,Banashankari,3.7,5.303304908059076,4.9
102,0,0,3.5,10,Quick Bites,"South Indian, Biryani",300.0,Delivery,Banashankari,3.7,5.707110264748875,2.4
103,0,0,3.8,45,"Takeaway, Delivery",Bakery,400.0,Delivery,Banashankari,3.7,5.993961427306569,3.8
104,0,0,3.2,11,Cafe,"Cafe, Bakery",600.0,Delivery,Banashankari,3.7,6.398594934535208,2.5
105,0,0,3.5,13,Bakery,"Bakery, Desserts",300.0,Delivery,Banashankari,3.7,5.707110264748875,2.6
106,0,0,3.4,8,Quick Bites,"Biryani, North Indian, Chinese, Fast Food",300.0,Delivery,Banashankari,3.7,5.707110264748875,2.2
107,0,0,3.7,0,"Takeaway, Delivery",Beverages,250.0,Delivery,Banashankari,3.7,5.5254529391317835,0.0
108,0,0,3.2,9,Quick Bites,Biryani,300.0,Delivery,Banashankari,3.7,5.707110264748875,2.3
109,0,0,3.2,4,Quick Bites,North Indian,300.0,Delivery,Banashankari,3.7,5.707110264748875,1.6
110,0,0,3.7,0,"Takeaway, Delivery","Sandwich, Pizza, Beverages",200.0,Delivery,Banashankari,3.7,5.303304908059076,0.0
111,0,0,3.1,29,Quick Bites,North Indian,150.0,Delivery,Banashankari,3.6,5.017279836814924,3.4
112,0,0,3.4,8,Bakery,"Bakery, Desserts",400.0,Delivery,Banashankari,3.7,5.993961427306569,2.2
113,0,0,3.7,0,Dessert Parlor,Mithai,150.0,Delivery,Banashankari,3.7,5.017279836814924,0.0
114,0,0,3.7,0,Bakery,Bakery,300.0,Delivery,Banashankari,3.7,5.707110264748875,0.0
115,0,0,3.7,0,Quick Bites,"North Indian, Street Food",200.0,Delivery,Banashankari,3.7,5.303304908059076,0.0
116,0,0,3.7,0,"Takeaway, Delivery",South Indian,150.0,Delivery,Banashankari,3.7,5.017279836814924,0.0
117,0,0,3.7,0,Dessert Parlor,"Ice Cream, Desserts, Juices",150.0,Delivery,Banashankari,3.7,5.017279836814924,0.0
118,0,0,3.7,0,Quick Bites,"Mangalorean, South Indian, North Indian",250.0,Delivery,Banashankari,3.7,5.5254529391317835,0.0
119,0,0,3.1,30,Bar,"Chinese, North Indian",1000.0,Delivery,Banashankari,3.6,6.90875477931522,3.4
120,1,0,4.1,201,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300.0,Delivery,Banashankari,3.9,5.707110264748875,5.3
121,0,0,3.3,7,Quick Bites,"Mangalorean, South Indian, North Indian",200.0,Delivery,Banashankari,3.7,5.303304908059076,2.1
122,0,0,3.1,6,Quick Bites,"Fast Food, South Indian",100.0,Delivery,Banashankari,3.7,4.61512051684126,1.9
123,0,0,3.3,17,Quick Bites,"Street Food, Fast Food",200.0,Delivery,Banashankari,3.7,5.303304908059076,2.9
124,0,0,2.9,25,Dessert Parlor,"Ice Cream, Desserts",200.0,Delivery,Banashankari,3.6,5.303304908059076,3.3
125,0,0,3.7,0,Delivery,"South Indian, North Indian, Continental",400.0,Delivery,Banashankari,3.7,5.993961427306569,0.0
126,0,0,3.7,0,Quick Bites,"Biryani, Chinese, South Indian, North Indian",350.0,Delivery,Banashankari,3.7,5.860786223465865,0.0
127,0,0,3.3,8,Delivery,South Indian,100.0,Delivery,Banashankari,3.7,4.61512051684126,2.2
128,0,0,3.7,0,Quick Bites,"Rolls, North Indian",150.0,Delivery,Banashankari,3.7,5.017279836814924,0.0
129,0,0,3.7,0,Quick Bites,South Indian,150.0,Delivery,Banashankari,3.7,5.017279836814924,0.0
130,0,0,3.7,0,"Takeaway, Delivery","Biryani, Rolls, Chinese",200.0,Delivery,Banashankari,3.7,5.303304908059076,0.0
131,0,0,3.7,0,Quick Bites,North Indian,100.0,Delivery,Banashankari,3.7,4.61512051684126,0.0
132,0,0,3.7,0,Quick Bites,"Biryani, Fast Food",400.0,Delivery,Banashankari,3.7,5.993961427306569,0.0
133,0,0,3.7,0,Beverage Shop,"Beverages, Juices",200.0,Delivery,Banashankari,3.7,5.303304908059076,0.0
134,0,0,3.7,0,"Beverage Shop, Quick Bites","Beverages, Fast Food, Juices",150.0,Delivery,Banashankari,3.7,5.017279836814924,0.0
135,0,0,3.7,0,"Takeaway, Delivery",South Indian,400.0,Delivery,Banashankari,3.7,5.993961427306569,0.0
136,0,0,3.7,0,Quick Bites,"South Indian, Chinese",150.0,Delivery,Banashankari,3.7,5.017279836814924,0.0
137,0,0,3.7,0,Quick Bites,Andhra,250.0,Delivery,Banashankari,3.7,5.5254529391317835,0.0
138,0,0,3.7,0,Quick Bites,Biryani,250.0,Delivery,Banashankari,3.7,5.5254529391317835,0.0
139,0,0,3.7,0,Quick Bites,"South Indian, Biryani",150.0,Delivery,Banashankari,3.7,5.017279836814924,0.0
140,0,0,3.7,0,Confectionery,Desserts,200.0,Delivery,Banashankari,3.7,5.303304908059076,0.0
141,0,0,3.7,0,"Quick Bites, Beverage Shop","Healthy Food, Juices, Sandwich",350.0,Delivery,Banashankari,3.7,5.860786223465865,0.0
142,0,0,3.7,0,Quick Bites,"South Indian, Biryani",300.0,Delivery,Banashankari,3.7,5.707110264748875,0.0
143,0,0,3.7,0,"Takeaway, Delivery","Pizza, Fast Food",100.0,Delivery,Banashankari,3.7,4.61512051684126,0.0
144,0,0,3.7,0,Quick Bites,"South Indian, Beverages",150.0,Delivery,Banashankari,3.7,5.017279836814924,0.0
145,1,0,4.0,771,Casual Dining,"South Indian, North Indian, Chinese",450.0,Delivery,Banashankari,3.9,6.111467339502679,6.6
146,0,0,3.0,98,Bar,"North Indian, Chinese",800.0,Delivery,Banashankari,3.5,6.68586094706836,4.6
147,1,0,3.9,47,Quick Bites,South Indian,200.0,Delivery,Banashankari,3.7,5.303304908059076,3.9
148,1,1,4.1,175,Casual Dining,"South Indian, North Indian, Chinese, Beverages",500.0,Delivery,Banashankari,3.9,6.2166061010848646,5.2
149,1,0,3.8,58,Quick Bites,"South Indian, Chinese, North Indian, Juices",300.0,Delivery,Banashankari,3.7,5.707110264748875,4.1
150,1,0,3.8,540,Casual Dining,"North Indian, Kebab, Biryani, Chinese",650.0,Delivery,Banashankari,3.8,6.478509642208569,6.3
151,1,0,3.8,124,Quick Bites,"Chinese, North Indian, Mughlai, Rolls",400.0,Delivery,Banashankari,3.7,5.993961427306569,4.8
152,1,0,4.1,340,"Takeaway, Delivery","North Indian, Mughlai, Fast Food",500.0,Delivery,Banashankari,4.0,6.2166061010848646,5.8
153,1,0,3.8,505,Quick Bites,"Burger, Fast Food",450.0,Delivery,Banashankari,3.8,6.111467339502679,6.2
154,0,0,3.7,0,Quick Bites,Fast Food,100.0,Delivery,Banashankari,3.7,4.61512051684126,0.0
155,1,0,4.1,438,Dessert Parlor,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500.0,Delivery,Banashankari,4.0,6.2166061010848646,6.1
156,1,0,3.7,264,Casual Dining,"North Indian, Chinese, Biryani, Beverages",750.0,Delivery,Banashankari,3.7,6.621405651764134,5.6
157,1,0,3.9,169,Beverage Shop,"Beverages, Juices, Ice Cream",150.0,Delivery,Banashankari,3.8,5.017279836814924,5.1
158,1,0,3.0,67,Quick Bites,"North Indian, Chinese",250.0,Delivery,Banashankari,3.5,5.5254529391317835,4.2
159,1,0,3.7,97,Quick Bites,"North Indian, Mughlai, Chinese",350.0,Delivery,Banashankari,3.7,5.860786223465865,4.6
160,1,0,3.3,12,"Takeaway, Delivery",Biryani,300.0,Delivery,Banashankari,3.7,5.707110264748875,2.6
161,1,0,3.3,12,Quick Bites,Biryani,300.0,Delivery,Banashankari,3.7,5.707110264748875,2.6
162,1,0,3.6,195,Casual Dining,"Chinese, Seafood, Biryani",800.0,Delivery,Banashankari,3.7,6.68586094706836,5.3
163,1,0,3.3,13,"Dessert Parlor, Sweet Shop","Desserts, Mithai",300.0,Delivery,Banashankari,3.7,5.707110264748875,2.6
164,1,0,4.6,228,Cafe,"Cafe, Beverages",400.0,Delivery,Banashankari,4.2,5.993961427306569,5.4
165,1,0,4.1,70,Quick Bites,"South Indian, Chinese",150.0,Delivery,Banashankari,3.8,5.017279836814924,4.3
166,1,1,4.1,364,Casual Dining,"Thai, Vietnamese, Asian, Chinese",1200.0,Delivery,Banashankari,4.0,7.0909098220799835,5.9
167,1,0,3.7,107,Beverage Shop,"Beverages, Ice Cream",150.0,Delivery,Banashankari,3.7,5.017279836814924,4.7
168,1,0,3.2,167,Quick Bites,"South Indian, North Indian, Chinese, Juices",300.0,Delivery,Banashankari,3.5,5.707110264748875,5.1
169,1,0,4.0,115,Sweet Shop,"Mithai, Street Food",400.0,Delivery,Banashankari,3.8,5.993961427306569,4.8
170,1,0,3.7,27,"Takeaway, Delivery","Italian, Pizza",400.0,Delivery,Banashankari,3.7,5.993961427306569,3.3
171,1,0,3.5,57,Quick Bites,Biryani,200.0,Delivery,Banashankari,3.7,5.303304908059076,4.1
172,1,0,3.8,120,Quick Bites,"North Indian, Fast Food, Rolls",250.0,Delivery,Banashankari,3.7,5.5254529391317835,4.8
173,1,0,3.8,15,Bakery,Bakery,400.0,Delivery,Banashankari,3.7,5.993961427306569,2.8
174,1,0,4.2,64,Quick Bites,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500.0,Delivery,Banashankari,3.8,6.2166061010848646,4.2
175,1,0,3.6,66,Quick Bites,South Indian,150.0,Delivery,Banashankari,3.7,5.017279836814924,4.2
176,1,0,3.0,290,Quick Bites,"North Indian, Chinese, Biryani, Kebab",450.0,Delivery,Banashankari,3.3,6.111467339502679,5.7
177,1,0,4.1,233,Quick Bites,Street Food,200.0,Delivery,Banashankari,3.9,5.303304908059076,5.5
178,1,0,3.8,115,Quick Bites,"Fast Food, Pizza",250.0,Delivery,Banashankari,3.7,5.5254529391317835,4.8
179,1,0,3.1,119,Casual Dining,"Biryani, Andhra, Hyderabadi, North Indian",700.0,Delivery,Banashankari,3.5,6.55250788703459,4.8
180,1,1,3.9,291,Cafe,"Cafe, Burger, Continental, Italian, Desserts",650.0,Delivery,Banashankari,3.8,6.478509642208569,5.7
181,1,0,4.5,155,Beverage Shop,"Beverages, Sandwich",300.0,Delivery,Banashankari,4.1,5.707110264748875,5.0
182,1,0,4.1,305,Casual Dining,Italian,700.0,Delivery,Banashankari,3.9,6.55250788703459,5.7
183,1,0,3.6,46,Quick Bites,"Fast Food, Italian, Beverages",500.0,Delivery,Banashankari,3.7,6.2166061010848646,3.9
184,1,0,3.5,45,Quick Bites,"Bengali, Chinese, Sandwich",350.0,Delivery,Banashankari,3.7,5.860786223465865,3.8
185,1,0,3.9,38,Dessert Parlor,Ice Cream,150.0,Delivery,Banashankari,3.7,5.017279836814924,3.7
186,1,0,3.9,441,Quick Bites,"South Indian, North Indian, Chinese, Biryani",400.0,Delivery,Banashankari,3.8,5.993961427306569,6.1
187,1,0,3.9,25,Quick Bites,South Indian,100.0,Delivery,Banashankari,3.7,4.61512051684126,3.3
188,1,0,4.3,630,Quick Bites,"North Indian, Street Food, Juices",200.0,Delivery,Banashankari,4.2,5.303304908059076,6.4
189,1,0,3.8,25,Quick Bites,South Indian,150.0,Delivery,Banashankari,3.7,5.017279836814924,3.3
190,1,0,3.9,160,Quick Bites,Arabian,300.0,Delivery,Banashankari,3.8,5.707110264748875,5.1
191,1,0,4.2,287,Quick Bites,North Indian,350.0,Delivery,Banashankari,4.0,5.860786223465865,5.7
192,1,0,3.6,11,Quick Bites,South Indian,100.0,Delivery,Banashankari,3.7,4.61512051684126,2.5
193,1,0,4.1,402,Cafe,Cafe,500.0,Delivery,Banashankari,4.0,6.2166061010848646,6.0
194,1,0,3.8,469,Casual Dining,"North Indian, Chinese, Beverages",750.0,Delivery,Banashankari,3.8,6.621405651764134,6.2
195,1,0,3.3,511,Casual Dining,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550.0,Delivery,Banashankari,3.4,6.311734809152915,6.2
196,1,0,3.9,57,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200.0,Delivery,Banashankari,3.7,5.303304908059076,4.1
197,1,0,3.4,14,Quick Bites,South Indian,300.0,Delivery,Banashankari,3.7,5.707110264748875,2.7
198,1,0,3.9,264,Quick Bites,South Indian,200.0,Delivery,Banashankari,3.8,5.303304908059076,5.6
199,1,0,3.0,62,Cafe,"Cafe, French, North Indian",400.0,Delivery,Banashankari,3.5,5.993961427306569,4.1
200,1,0,3.8,693,Casual Dining,"Pizza, Fast Food",750.0,Delivery,Banashankari,3.8,6.621405651764134,6.5
201,1,0,3.8,242,Casual Dining,"Mangalorean, Seafood, Chinese, Biryani",650.0,Delivery,Banashankari,3.8,6.478509642208569,5.5
202,1,0,3.6,27,Dessert Parlor,Fast Food,250.0,Delivery,Banashankari,3.7,5.5254529391317835,3.3
203,1,0,4.1,163,Quick Bites,"Continental, Fast Food, Street Food, Momos",500.0,Delivery,Banashankari,3.9,6.2166061010848646,5.1
204,1,0,4.2,191,Quick Bites,"Street Food, Fast Food",250.0,Delivery,Banashankari,3.9,5.5254529391317835,5.3
205,1,0,3.5,32,Quick Bites,"Pizza, Sandwich, Burger, Fast Food",150.0,Delivery,Banashankari,3.7,5.017279836814924,3.5
206,1,0,2.5,247,Casual Dining,North Indian,500.0,Delivery,Banashankari,3.0,6.2166061010848646,5.5
207,1,1,4.1,2339,Casual Dining,"North Indian, Chinese, BBQ",1500.0,Delivery,Banashankari,4.1,7.313886831633462,7.8
208,1,0,4.1,337,Quick Bites,"Chinese, Fast Food",300.0,Delivery,Banashankari,4.0,5.707110264748875,5.8
209,1,0,3.9,135,Casual Dining,"North Indian, Chinese, Continental",800.0,Delivery,Banashankari,3.8,6.68586094706836,4.9
210,1,0,3.6,172,Casual Dining,"North Indian, Chinese",700.0,Delivery,Banashankari,3.7,6.55250788703459,5.2
211,1,0,3.6,105,Casual Dining,Vietnamese,700.0,Delivery,Banashankari,3.7,6.55250788703459,4.7
212,1,0,4.2,504,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550.0,Delivery,Banashankari,4.1,6.311734809152915,6.2
213,1,0,3.2,36,Quick Bites,"Fast Food, Street Food",200.0,Delivery,Banashankari,3.6,5.303304908059076,3.6
214,1,0,3.1,39,Quick Bites,North Indian,300.0,Delivery,Banashankari,3.6,5.707110264748875,3.7
215,1,0,3.1,5,Casual Dining,"North Indian, Chinese, Biryani, Kebab",500.0,Delivery,Banashankari,3.7,6.2166061010848646,1.8
216,1,0,3.7,0,Quick Bites,"North Indian, Chinese",300.0,Delivery,Banashankari,3.7,5.707110264748875,0.0
217,1,1,4.3,1129,Casual Dining,"Italian, Salad",1300.0,Delivery,Banashankari,4.2,7.170888478512505,7.0
